,normalising_temperature,tempering_temperature,percent_silicon,percent_chromium,percent_copper,percent_nickel,percent_sulphur,percent_carbon,percent_manganese,tensile_strength
0,178.5,275,0.153,0.970574759,0.942,0.887,0.0,1.92,0.0,25.10761328
1,178.5,950,0.153,1.21272603,0.942,0.887,0.0,1.92,0.0,140.0353335
2,178.5,375,0.153,1.621164828,0.942,0.887,0.0,1.92,0.0,42.21764969
3,178.5,900,0.153,0.80998863,0.942,0.887,0.0,1.92,0.0,95.01530861
4,189.525,900,0.1624,1.036229263,0.849,0.9382,0.0,2.035,0.0,113.2667725
5,189.525,950,0.1624,0.93545159,0.849,0.9382,0.0,2.035,0.0,160.7744268
6,189.525,275,0.1624,1.390218374,0.849,0.9382,0.0,2.035,0.0,12.82494308
7,189.525,375,0.1624,1.416357675,0.849,0.9382,0.0,2.035,0.0,42.47930584
8,203.0,950,0.173,1.162189166,0.8919,0.9098,0.0,1.92,0.0,170.6301415
9,203.0,900,0.173,1.31242066,0.8919,0.9098,0.0,1.92,0.0,122.9139207
10,203.0,275,0.173,1.108258101,0.8919,0.9098,0.0,1.92,0.0,34.54240286
11,203.0,375,0.173,1.051569509,0.8919,0.9098,0.0,1.92,0.0,55.49385481
12,214.55,950,0.1839,1.07601808,0.8001,0.9582,0.0,2.035,0.0,182.5563526
13,214.55,900,0.1839,1.325198859,0.8001,0.9582,0.0,2.035,0.0,133.6001093
14,214.55,275,0.1839,1.086320287,0.8001,0.9582,0.0,2.035,0.0,18.25904817
15,214.55,375,0.1839,1.403070885,0.8001,0.9582,0.0,2.035,0.0,56.95002812
16,231.0,900,0.207,1.470654724,0.736,0.867,0.05,1.79,1.61,183.1592994
17,231.0,900,0.2065,1.283542741,0.7356,0.8669,0.055,1.789,1.609,183.1858442
18,232.75,900,0.2,1.21012507,0.8392,0.9274,0.0,1.92,0.0,153.3115386
19,232.75,950,0.2,1.514043553,0.8392,0.9274,0.0,1.92,0.0,201.2363259
20,232.75,375,0.2,1.402326238,0.8392,0.9274,0.0,1.92,0.0,75.15219452
21,232.75,275,0.2,0.947351237,0.8392,0.9274,0.0,1.92,0.0,37.86050611
22,232.75,900,0.21,1.360017244,0.795,0.949,0.03,1.96,0.0,170.64531
23,232.925,900,0.2102,1.107778632,0.7953,0.9494,0.031,1.957,0.0,159.1589846
24,235.725,900,0.0,1.38269057,0.8049,0.961,0.1,1.802,1.657,73.11582716
25,236.25,900,0.0,1.148668104,0.805,0.961,0.1,1.8,1.66,73.11203504
26,236.25,900,0.105,1.267843512,0.643,0.965,0.06,1.96,1.93,120.51351
27,237.475,375,0.2035,0.949572557,0.7593,1.0762,0.0,1.857,0.0,41.28858078
28,237.475,900,0.2035,1.259019623,0.7593,1.0762,0.0,1.857,0.0,100.0929546
29,238.0,900,0.162,1.444654303,0.764,0.923,0.1,1.72,1.26,159.8756949
30,238.0,900,0.196,1.354691744,0.783,0.847,0.06,1.99,0.98,148.309735
31,238.7,900,0.1616,1.40340215,0.7644,0.9226,0.104,1.716,1.258,159.9022397
32,244.3,950,0.2094,1.665857913,0.8069,1.047,0.0,1.92,0.0,216.4692639
33,244.3,900,0.2094,1.021100643,0.8069,1.047,0.0,1.92,0.0,155.3061927
34,244.3,275,0.2094,1.44665003,0.8069,1.047,0.0,1.92,0.0,44.34882001
35,244.3,950,0.2094,1.727578841,0.8069,1.047,0.0,1.92,0.0,245.8392178
36,244.475,900,0.1639,0.778916412,0.6556,0.8686,0.058,2.367,1.277,193.7393086
37,244.825,900,0.1326,1.311100841,0.7534,0.916,0.074,2.003,1.033,200.4399811
38,245.0,900,0.164,1.120223504,0.656,0.869,0.06,2.37,1.28,193.7393086
39,245.0,900,0.133,1.590606257,0.753,0.916,0.07,2.0,1.03,200.4134363
40,247.275,900,0.212,1.185883762,0.7485,0.9718,0.0,2.035,0.0,164.4072759
41,247.275,375,0.212,1.102509426,0.7485,0.9718,0.0,2.035,0.0,57.16617885
42,247.275,950,0.212,1.417456205,0.7485,0.9718,0.0,2.035,0.0,218.141588
43,247.275,275,0.212,1.05469909,0.7485,0.9718,0.0,2.035,0.0,26.55241024
44,248.325,900,0.1666,1.479831129,0.7853,0.8826,0.109,1.735,1.297,245.3652031
45,248.5,900,0.167,1.061497883,0.785,0.883,0.11,1.74,1.3,245.3500346
46,250.25,900,0.169,1.252186351,0.643,0.967,0.08,1.91,1.43,163.478207
47,250.25,900,0.1694,1.567673085,0.6435,0.9674,0.084,1.907,1.427,163.4933755
48,251.3,900,0.0,1.386617189,0.8445,0.9427,0.179,1.584,1.749,84.82967966
49,251.475,900,0.1702,0.980064812,0.8053,0.8141,0.085,1.916,1.326,164.2897202
50,251.65,900,0.1363,1.558077807,0.7743,0.9415,0.075,1.781,1.062,143.812283
51,252.0,900,0.0,1.148644478,0.844,0.943,0.18,1.58,1.75,84.79175848
52,252.0,900,0.17,0.87789428,0.805,0.814,0.08,1.92,1.33,164.2745518
53,252.0,900,0.136,1.551397813,0.774,0.941,0.07,1.78,1.06,143.7971146
54,252.0,900,0.015,1.378906982,0.709,1.021,0.06,1.76,1.95,84.3746255
55,253.4,900,0.0,1.128601944,0.8115,0.9795,0.111,1.808,1.336,72.61147546
112,373.625,950,0.0,1.7142842,0.7719,1.0436,0.1166,1.5921,1.7424,291.2725836
113,374.01,275,0.09805,1.497331716,0.78538,1.0658,0.0686,1.8171,0.2451,98.9742798
114,374.01,550,0.09805,1.149704592,0.78538,1.0658,0.0686,1.8171,0.2451,167.1186403
115,374.01,900,0.09805,1.476826041,0.78538,1.0658,0.0686,1.8171,0.2451,251.3795022
116,374.01,950,0.09805,1.252422148,0.78538,1.0658,0.0686,1.8171,0.2451,279.2515695
117,374.01,950,0.09805,1.379944583,0.78538,1.0658,0.0686,1.8171,0.2451,296.4677852
118,374.045,275,0.0,1.23713146,0.77635,1.0535,0.1016,1.5479,1.7474,96.66108782
119,374.045,550,0.0,1.178307688,0.77635,1.0535,0.1016,1.5479,1.7474,185.5104126
120,374.045,900,0.0,1.484566212,0.77635,1.0535,0.1016,1.5479,1.7474,220.8150311
121,374.045,950,0.0,1.324645046,0.77635,1.0535,0.1016,1.5479,1.7474,256.5367827
122,374.045,950,0.0,0.965198955,0.77635,1.0535,0.1016,1.5479,1.7474,275.4215303
123,374.08,275,0.09806,1.218833467,0.78552,1.066,0.0665,1.8174,0.2452,72.50529616
124,374.08,550,0.09806,1.451380875,0.78552,1.066,0.0665,1.8174,0.2452,98.10209266
125,374.08,900,0.09806,1.632250358,0.78552,1.066,0.0665,1.8174,0.2452,221.2700853
126,374.08,950,0.09806,1.182553409,0.78552,1.066,0.0665,1.8174,0.2452,259.2291865
127,374.08,950,0.09806,1.615629671,0.78552,1.066,0.0665,1.8174,0.2452,274.8527126
128,376.075,275,0.0538,0.904605406,0.78058,1.0143,0.0961,1.5563,1.2189,99.08804334
129,376.075,550,0.0538,1.111704827,0.78058,1.0143,0.0961,1.5563,1.2189,212.3206868
130,376.075,900,0.0538,1.547589632,0.78058,1.0143,0.0961,1.5563,1.2189,287.1012538
131,376.075,950,0.0538,1.717120561,0.78058,1.0143,0.0961,1.5563,1.2189,296.7711547
132,376.075,950,0.0538,1.074323641,0.78058,1.0143,0.0961,1.5563,1.2189,311.4845725
133,381.9025,275,0.05464,1.112202333,0.79267,1.0757,0.1191,1.4075,1.2378,150.8125329
134,381.9025,550,0.05464,1.21262178,0.79267,1.0757,0.1191,1.4075,1.2378,197.7589537
135,381.9025,900,0.05464,1.488710685,0.79267,1.0757,0.1191,1.4075,1.2378,305.3034202
136,381.9025,950,0.05464,1.732889523,0.79267,1.0757,0.1191,1.4075,1.2378,340.9493294
137,381.9025,950,0.05464,1.342604009,0.79267,1.0757,0.1191,1.4075,1.2378,349.4057525
138,382.9875,275,0.0,1.393530016,0.79491,1.0787,0.1133,1.5849,1.2413,84.3746255
139,382.9875,550,0.0,1.539241478,0.79491,1.0787,0.1133,1.5849,1.2413,143.266218
140,382.9875,900,0.0,1.069785751,0.79491,1.0787,0.1133,1.5849,1.2413,166.2085319
141,382.9875,950,0.0,1.288266687,0.79491,1.0787,0.1133,1.5849,1.2413,204.9639779
142,382.9875,950,0.0,1.45279921,0.79491,1.0787,0.1133,1.5849,1.2413,254.2615119
143,386.4,900,0.1472,1.105845279,0.7443,1.055,0.0,1.857,0.0,141.5976861
144,386.4,375,0.1472,1.160415984,0.7443,1.055,0.0,1.857,0.0,71.98956811
145,389.13,275,0.0,1.220422887,0.87032,0.96708,0.0446,1.8929,0.9667,63.66966122
146,389.13,550,0.0,1.047662861,0.87032,0.96708,0.0446,1.8929,0.9667,134.4685043
147,389.13,900,0.0,1.690892972,0.87032,0.96708,0.0446,1.8929,0.9667,136.8954598
148,389.13,950,0.0,1.346140659,0.87032,0.96708,0.0446,1.8929,0.9667,161.9613598
149,389.13,950,0.0,1.231921101,0.87032,0.96708,0.0446,1.8929,0.9667,223.9245679
150,393.75,375,0.0,1.11746656,0.833,1.113,0.0,1.81,0.0,61.4323116
151,393.75,900,0.0,1.426637052,0.833,1.113,0.0,1.81,0.0,95.3717677
152,399.0,900,0.3421,0.94180041,0.6743,0.9558,0.0,1.857,0.0,218.3463623
153,399.0,375,0.3421,1.148497984,0.6743,0.9558,0.0,1.857,0.0,120.543847
154,401.94,275,0.0,1.213009903,0.75763,1.0281,0.0613,1.9523,1.1816,73.45332566
155,401.94,550,0.0,0.976372072,0.75763,1.0281,0.0613,1.9523,1.1816,122.7508597
156,401.94,900,0.0,1.505534451,0.75763,1.0281,0.0613,1.9523,1.1816,134.9614796
157,401.94,950,0.0,1.288715405,0.75763,1.0281,0.0613,1.9523,1.1816,172.4276055
158,401.94,950,0.0,1.132795954,0.75763,1.0281,0.0613,1.9523,1.1816,224.7209127
159,405.5625,275,0.0,1.405826456,0.77845,1.0564,0.0672,1.7396,1.2162,84.90552202
160,405.5625,550,0.0,1.522791627,0.77845,1.0564,0.0672,1.7396,1.2162,147.2479419
161,405.5625,900,0.0,1.422404073,0.77845,1.0564,0.0672,1.7396,1.2162,185.5104126
162,405.5625,950,0.0,0.943133658,0.77845,1.0564,0.0672,1.7396,1.2162,234.8458677
163,405.5625,950,0.0,1.665320316,0.77845,1.0564,0.0672,1.7396,1.2162,252.1000046
164,409.5,900,0.156,1.047741433,0.76,0.981,0.0585,1.89,0.0,216.150726
165,413.0,275,0.0,1.125087602,0.885,0.968,0.0,1.94,0.0,35.57006684
166,413.0,550,0.0,0.861654554,0.885,0.968,0.0,1.94,0.0,70.60923716
167,413.0,900,0.0,0.894220964,0.885,0.968,0.0,1.94,0.0,101.2874718
168,413.0,950,0.0,1.508486091,0.885,0.968,0.0,1.94,0.0,120.7031159
169,413.0,950,0.0,1.014722065,0.885,0.968,0.0,1.93,0.0,132.5724453
170,413.0,950,0.0,1.575594811,0.885,0.968,0.0,1.93,0.0,137.9572528
171,413.0,375,0.0,0.98347795,0.885,0.968,0.0,1.93,0.0,54.94778982
172,413.0,375,0.157,1.330624464,0.7491,0.9726,0.0,1.92,0.0,112.2884061
173,413.0,275,0.157,1.187859801,0.7491,0.9726,0.0,1.92,0.0,74.60992165
174,413.0,950,0.157,1.235233051,0.7491,0.9726,0.0,1.92,0.0,262.8013616
175,413.0,900,0.157,1.07112214,0.7491,0.9726,0.0,1.92,0.0,180.865068
176,414.575,900,0.0917,0.762467655,0.6954,0.8529,0.06,2.469,0.715,157.4639078
177,414.75,900,0.092,1.306506724,0.695,0.853,0.06,2.47,0.71,157.4487394
178,416.5,375,0.0,1.383430599,0.789,1.119,0.0,1.86,0.0,66.28622264
179,416.5,900,0.0,1.644081669,0.789,1.119,0.0,1.86,0.0,96.47148192
180,416.5,900,0.0,1.739025836,0.789,1.118,0.0,1.85,0.0,96.47148192
181,416.5875,275,0.0,1.115603061,0.84701,0.94991,0.07,1.8666,0.9411,109.6301314
182,416.5875,550,0.0,0.854117089,0.84701,0.94991,0.07,1.8666,0.9411,141.2943167
183,416.5875,900,0.0,1.688767516,0.84701,0.94991,0.07,1.8666,0.9411,166.2843743
184,416.5875,950,0.0,1.621725443,0.84701,0.94991,0.07,1.8666,0.9411,217.7434156
185,416.5875,950,0.0,0.835190341,0.84701,0.94991,0.07,1.8666,0.9411,243.6435815
186,416.675,900,0.0,1.794173057,0.7893,1.1188,0.0,1.857,0.0,96.66867206
187,416.675,375,0.0,1.607916403,0.7893,1.1188,0.0,1.857,0.0,56.84764094
188,416.85,375,0.1588,1.656772673,0.7343,1.0406,0.0,1.857,0.0,86.30102144
189,416.85,900,0.1588,1.262666086,0.7343,1.0406,0.0,1.857,0.0,148.0253261
190,419.3,375,0.3594,1.378587112,0.6643,0.9416,0.0,1.857,0.0,139.8229749
191,419.3,900,0.3594,0.913826369,0.6643,0.9416,0.0,1.857,0.0,216.8939811
192,431.9525,275,0.0,1.441026966,0.80089,1.0868,0.1199,1.433,1.2508,129.3870662
193,431.9525,550,0.0,1.017885855,0.80089,1.0868,0.1199,1.433,1.2508,232.1913851
194,431.9525,900,0.0,1.140148403,0.80089,1.0868,0.1199,1.433,1.2508,288.7697857
195,431.9525,950,0.0,1.210719086,0.80089,1.0868,0.1199,1.433,1.2508,331.7724038
196,431.9525,950,0.0,1.659575279,0.80089,1.0868,0.1199,1.433,1.2508,365.3326481
197,435.925,275,0.0,1.646350071,0.88901,0.98776,0.128,1.5811,0.9875,84.48838904
198,435.925,550,0.0,1.483487105,0.88901,0.98776,0.128,1.5811,0.9875,157.7521088
199,435.925,900,0.0,1.243516532,0.88901,0.98776,0.128,1.5811,0.9875,169.6593593
200,435.925,950,0.0,1.523053486,0.88901,0.98776,0.128,1.5811,0.9875,231.1675133
201,435.925,950,0.0,1.629356486,0.88901,0.98776,0.128,1.5811,0.9875,280.8063379
202,437.5,275,0.0,1.232359849,0.86117,0.95686,0.0553,1.8742,0.9569,75.99404472
203,437.5,550,0.0,1.479563199,0.86117,0.95686,0.0553,1.8742,0.9569,137.0471445
204,437.5,900,0.0,1.330177235,0.86117,0.95686,0.0553,1.8742,0.9569,160.7099608
205,437.5,950,0.0,1.130719031,0.86117,0.95686,0.0553,1.8742,0.9569,210.8038396
206,437.5,950,0.0,1.516578323,0.86117,0.95686,0.0553,1.8742,0.9569,232.9118876
207,437.5,900,0.18,1.0768498,0.8,0.86,0.0945,1.59,0.95,373.2581747
208,437.5,275,0.0,0.899355969,0.8572,0.9489,0.0533,1.9184,0.9569,46.68097258
209,437.5,550,0.0,1.164110383,0.8572,0.9489,0.0533,1.9184,0.9569,135.6061397
210,437.5,900,0.0,1.524863644,0.8572,0.9489,0.0533,1.9184,0.9569,149.7128186
211,437.5,950,0.0,1.177699566,0.8572,0.9489,0.0533,1.9184,0.9569,218.046785
212,437.5,950,0.0,1.489855582,0.8572,0.9489,0.0533,1.9184,0.9569,226.3894446
213,437.5,375,0.0,1.637807634,0.82,1.1,0.0,1.82,0.0,70.04041946
214,437.5,900,0.0,1.655703971,0.82,1.1,0.0,1.82,0.0,114.7874119
215,437.85,950,0.1668,1.609989314,0.6941,0.9776,0.0,2.035,0.0,262.4297341
216,437.85,375,0.1668,0.953299025,0.6941,0.9776,0.0,2.035,0.0,106.4257917
217,437.85,275,0.1668,1.068575298,0.6941,0.9776,0.0,2.035,0.0,53.52195345
218,437.85,900,0.1668,1.084953361,0.6941,0.9776,0.0,2.035,0.0,203.3030302
219,439.8975,275,0.0,1.649975638,0.75773,1.0284,0.0575,1.8845,1.1827,94.72710764
220,439.8975,550,0.0,1.094782767,0.75773,1.0284,0.0575,1.8845,1.1827,164.6158424
221,439.8975,900,0.0,1.682213304,0.75773,1.0284,0.0575,1.8845,1.1827,163.0989952
222,439.8975,950,0.0,1.048109116,0.75773,1.0284,0.0575,1.8845,1.1827,203.3333672
223,439.8975,950,0.0,0.901678533,0.75773,1.0284,0.0575,1.8845,1.1827,239.6997788
224,439.8975,275,0.0,1.107000694,0.75773,1.0284,0.0635,1.8845,1.1827,72.16400554
225,439.8975,550,0.0,1.028483875,0.75773,1.0284,0.0635,1.8845,1.1827,134.3547407
226,439.8975,900,0.0,1.031975201,0.75773,1.0284,0.0635,1.8845,1.1827,179.6326297
227,439.8975,950,0.0,1.514337066,0.75773,1.0284,0.0635,1.8845,1.1827,201.5131505
228,439.8975,950,0.0,1.320613637,0.75773,1.0284,0.0635,1.8845,1.1827,243.1506062
229,439.8975,275,0.0,1.102638809,0.7543,1.0436,0.0575,1.9294,1.1827,65.90701084
230,439.8975,550,0.0,1.075872284,0.7543,1.0436,0.0575,1.9294,1.1827,113.9910671
231,439.8975,900,0.0,1.724310144,0.7543,1.0436,0.0575,1.9294,1.1827,183.0076147
232,439.8975,950,0.0,1.186600275,0.7543,1.0436,0.0575,1.9294,1.1827,215.9611201
233,439.8975,950,0.0,1.648558734,0.7543,1.0436,0.0575,1.9294,1.1827,220.8150311
234,440.6675,275,0.0,1.321236992,0.89976,1.006,0.1235,1.4614,0.9994,115.6216778
235,440.6675,550,0.0,1.363164726,0.89976,1.006,0.1235,1.4614,0.9994,183.4626688
236,440.6675,900,0.0,0.952381767,0.89976,1.006,0.1235,1.4614,0.9994,186.6859691
237,440.6675,950,0.0,0.909599404,0.89976,1.006,0.1235,1.4614,0.9994,242.7713944
238,440.6675,950,0.0,1.074347273,0.89976,1.006,0.1235,1.4614,0.9994,249.5213644
239,441.0,375,0.0,1.71918549,0.784,1.111,0.0,1.85,0.0,75.42522702
240,441.0,900,0.0,1.55766863,0.784,1.111,0.0,1.85,0.0,108.3028901
241,441.0,375,0.0,1.512060632,0.784,1.111,0.0,1.86,0.0,63.06292234
242,441.0,900,0.0,1.269982183,0.784,1.111,0.0,1.85,0.0,108.3028901
243,441.0,900,0.097,1.001373942,0.821,0.835,0.08,1.94,0.76,183.6901959
244,441.175,900,0.0971,1.577989567,0.8214,0.8355,0.083,1.938,0.756,183.6977802
245,441.5425,275,0.0,0.903326178,0.88901,0.98776,0.1417,1.4625,0.9875,119.7930076
246,441.5425,550,0.0,1.552280156,0.88901,0.98776,0.1417,1.4625,0.9875,232.6085181
247,441.5425,900,0.0,0.888617259,0.88901,0.98776,0.1417,1.4625,0.9875,278.30354
248,441.5425,950,0.0,1.090686339,0.88901,0.98776,0.1417,1.4625,0.9875,307.0477945
249,441.5425,950,0.0,1.344898545,0.88901,0.98776,0.1417,1.4625,0.9875,335.2232312
250,441.875,900,0.0,1.443232252,0.7843,1.1116,0.0,1.857,0.0,108.7086467
251,441.875,375,0.0,1.029501591,0.7843,1.1116,0.0,1.857,0.0,63.16151741
252,444.5,275,0.0,1.436531296,0.863,0.968,0.0,1.98,0.0,51.193593
253,444.5,950,0.0,1.053319867,0.863,0.968,0.0,1.98,0.0,148.1959714
254,444.5,950,0.0,0.86416787,0.863,0.968,0.0,1.98,0.0,151.9501683
255,444.5,950,0.0,1.147270995,0.863,0.968,0.0,1.98,0.0,163.8194976
256,446.25,950,0.0,1.124539278,0.945,0.8898,0.0,1.92,0.0,120.2253091
257,446.25,375,0.0,1.300077321,0.945,0.8898,0.0,1.92,0.0,56.22194147
258,446.25,900,0.0,1.055500105,0.945,0.8898,0.0,1.92,0.0,103.1038963
259,446.25,275,0.0,0.848428978,0.945,0.8898,0.0,1.92,0.0,45.12241208
260,446.25,900,0.099,1.568463345,0.749,0.919,0.06,1.89,0.77,185.8896244
261,446.775,900,0.0988,1.025252463,0.7493,0.919,0.065,1.886,0.77,185.8934165
262,447.125,375,0.1703,0.956874899,0.7243,1.0266,0.0,1.857,0.0,94.79915788
263,447.125,900,0.1703,1.48481838,0.7243,1.0266,0.0,1.857,0.0,176.2841895
264,454.825,900,0.1006,1.442659281,0.7629,0.9357,0.104,1.706,0.784,273.7529984
265,455.0,900,0.101,1.477747363,0.763,0.936,0.1,1.71,0.78,273.7529984
266,456.575,900,0.1005,1.334764719,0.7615,0.8645,0.086,2.006,0.783,178.2067933
267,456.75,900,0.1,0.766762019,0.761,0.864,0.09,2.01,0.78,178.1916248
268,458.325,900,0.1105,1.4209708,0.7326,0.8952,0.05,1.954,0.861,185.4535308
269,458.5,900,0.111,1.276766272,0.733,0.895,0.05,1.95,0.86,185.4345702
270,462.875,900,0.111,0.745782666,0.7904,0.8326,0.059,1.955,0.865,228.4826937
271,463.75,900,0.111,1.326246696,0.79,0.833,0.06,1.95,0.86,228.4751095
272,465.5,950,0.114,1.358544149,0.67,0.932,0.0,2.28,0.0,258.6641609
273,465.5,900,0.114,0.821857227,0.67,0.932,0.0,2.28,0.0,252.1985997
274,465.5,950,0.114,1.32602556,0.67,0.932,0.0,2.28,0.0,267.825918
275,465.5,900,0.112,1.383996818,0.745,0.91,0.1,1.78,0.87,216.7953861
276,465.85,900,0.1123,1.335847346,0.7445,0.9097,0.104,1.779,0.875,216.8181388
277,477.05,900,0.0,1.584274223,0.7622,0.9313,0.106,1.987,0.896,177.3497746
278,477.4,375,0.1819,1.120544621,0.7143,1.0124,0.0,1.857,0.0,108.7086467
279,477.4,900,0.1819,1.257332523,0.7143,1.0124,0.0,1.857,0.0,172.5982508
280,477.4,900,0.1051,1.065511992,0.6797,0.904,0.09,2.097,0.818,204.4406656
281,477.75,900,0.105,1.520239761,0.68,0.904,0.09,2.1,0.82,204.4330814
282,477.75,900,0.0,1.676318577,0.762,0.931,0.11,1.99,0.9,177.3194377
283,481.25,900,0.18,1.341833032,0.765,0.83,0.1035,1.62,1.2,419.2944873
284,481.25,375,0.0,1.752171256,0.808,1.088,0.0,1.83,0.0,78.1176308
285,481.25,900,0.0,1.514210553,0.808,1.088,0.0,1.83,0.0,134.7339525
286,481.3725,275,0.0,1.685414654,0.7775,1.0536,0.099,1.5948,1.2135,130.9039134
287,481.3725,550,0.0,1.3055562,0.7775,1.0536,0.099,1.5948,1.2135,213.2307951
288,481.3725,900,0.0,1.763484295,0.7775,1.0536,0.099,1.5948,1.2135,282.3231851
289,481.3725,950,0.0,0.939814556,0.7775,1.0536,0.099,1.5948,1.2135,312.6601291
290,481.3725,950,0.0,1.315755264,0.7775,1.0536,0.099,1.5948,1.2135,322.33003
291,483.0,900,0.116,1.093635432,0.768,0.87,0.09,1.8,0.9,243.529818
292,483.7,900,0.116,1.106843049,0.7683,0.8701,0.089,1.796,0.903,243.563947
293,484.75,550,0.0,1.588946527,0.856,0.968,0.0,1.91,0.0,116.9489191
294,484.75,900,0.0,1.101594281,0.856,0.968,0.0,1.91,0.0,142.8111639
295,484.75,275,0.0,0.866634893,0.856,0.968,0.0,1.91,0.0,62.49410464
296,484.75,950,0.0,1.687673565,0.856,0.968,0.0,1.91,0.0,171.8967089
